,Material Category,Material Type,Jurisdiction(s),Business Group,Total Disposed Tons,Material Tons Disposed,Percent of Disposal,Total Curbside Recycle Tons,Material Tons in Curbside Recycle,Percent of Curbside Recycle,Total Curbside Organics Tons,Material Tons in Curbside Organics,Percent of Curbside Organics,Total Other Diversion Tons,Material Tons in Other Diversion,Percent of Other Diversion,Material Tons Generated (Sum of all Streams),Percent of Total Generation
30,Plastic,Miscellaneous Plastic Containers,Nevada (Countywide),Hotels & Lodging,1918.357249,7.311554634,0.003811362371,258.389096,0.5546680028,0.002146638583,17.23498763,0,0,216.689127,0.4292340357,0.001980874821,8.295456673,0.003441140882
31,Plastic,Plastic Trash Bags,Nevada (Countywide),Hotels & Lodging,1918.357249,53.73939001,0.02801323374,258.389096,1.881343417,0.007281048027,17.23498763,0,0,216.689127,0,0,55.62073343,0.02307272369
32,Plastic,Plastic Grocery and Other Merchandise Bags,Nevada (Countywide),Hotels & Lodging,1918.357249,5.96779535,0.003110888419,258.389096,0.2262153576,0.0008754833742,17.23498763,0,0,216.689127,0,0,6.194010708,0.002569414116
33,Plastic,Non-Bag Commercial and Industrial Packaging Film,Nevada (Countywide),Hotels & Lodging,1918.357249,1.356638593,0.0007071876701,258.389096,0.1919326876,0.0007428049037,17.23498763,0,0,216.689127,0,0,1.548571281,0.0006423819875
34,Plastic,Film Products,Nevada (Countywide),Hotels & Lodging,1918.357249,0.2421917439,0.0001262495523,258.389096,0.03938556546,0.0001524273511,17.23498763,0,0,216.689127,0,0,0.2815773094,0.0001168045629
35,Plastic,Other Film - Other,Nevada (Countywide),Hotels & Lodging,1918.357249,33.12941667,0.01726968045,258.389096,9.782910775,0.03786115949,17.23498763,0,0,216.689127,0,0,42.91232745,0.01780099278
36,Plastic,Durable Plastic Items - #2 and #5 Bulky Rigids,Nevada (Countywide),Hotels & Lodging,1918.357249,5.511986466,0.002873284665,258.389096,1.933772715,0.007483956345,17.23498763,0,0,216.689127,0,0,7.445759181,0.003088667367
37,Plastic,Durable Plastic Items - Other,Nevada (Countywide),Hotels & Lodging,1918.357249,8.453617978,0.004406696397,258.389096,5.440202853,0.02105430507,17.23498763,0,0,216.689127,0,0,13.89382083,0.005763467493
38,Plastic,Remainder / Composite Plastic,Nevada (Countywide),Hotels & Lodging,1918.357249,67.61286473,0.03524518948,258.389096,2.578173212,0.00997787156,17.23498763,0,0,216.689127,0,0,70.19103794,0.02911681174
39,Other Organic,Food,Nevada (Countywide),Hotels & Lodging,1918.357249,616.3600782,0.3212957745,258.389096,13.47867077,0.0521642398,17.23498763,9.314835639,0.5404608254,216.689127,29.41305234,0.1357384782,668.5666369,0.2773363876
40,Other Organic,Leaves and Grass,Nevada (Countywide),Hotels & Lodging,1918.357249,40.14237196,0.02092538915,258.389096,0,0,17.23498763,4.304720162,0.2497663622,216.689127,0,0,44.44709212,0.01843764748
41,Other Organic,Prunings and Trimmings,Nevada (Countywide),Hotels & Lodging,1918.357249,41.17008768,0.02146111612,258.389096,0,0,17.23498763,3.615431826,0.2097728124,216.689127,27.48563729,0.1268436385,72.27115679,0.02997969154
42,Other Organic,Branches and Stumps,Nevada (Countywide),Hotels & Lodging,1918.357249,33.11627799,0.01726283152,258.389096,0,0,17.23498763,0,0,216.689127,0,0,33.11627799,0.01373737246
43,Other Organic,Manures,Nevada (Countywide),Hotels & Lodging,1918.357249,0,0,258.389096,0,0,17.23498763,0,0,216.689127,0,0,0,0
44,Other Organic,Textiles,Nevada (Countywide),Hotels & Lodging,1918.357249,49.62167275,0.0258667528,258.389096,0.4946553442,0.001914381651,17.23498763,0,0,216.689127,1.872048114,0.008639326484,51.9883762,0.02156594071
45,Other Organic,Carpet,Nevada (Countywide),Hotels & Lodging,1918.357249,9.52971862,0.004967645429,258.389096,0,0,17.23498763,0,0,216.689127,0,0,9.52971862,0.003953140331
46,Other Organic,Remainder / Composite Organic,Nevada (Countywide),Hotels & Lodging,1918.357249,83.03013643,0.04328189469,258.389096,0,0,17.23498763,0,0,216.689127,0,0,83.03013643,0.03444275683
47,Inerts and Other,Concrete,Nevada (Countywide),Hotels & Lodging,1918.357249,3.274853581,0.001707113512,258.389096,0,0,17.23498763,0,0,216.689127,0,0,3.274853581,0.001358482478
48,Inerts and Other,Asphalt Paving,Nevada (Countywide),Hotels & Lodging,1918.357249,33.40140051,0.01741146,258.389096,0,0,17.23498763,0,0,216.689127,0,0,33.40140051,0.01385564766
49,Inerts and Other,Asphalt Roofing,Nevada (Countywide),Hotels & Lodging,1918.357249,0,0,258.389096,0,0,17.23498763,0,0,216.689127,0,0,0,0
50,Inerts and Other,Clean Dimensional Lumber,Nevada (Countywide),Hotels & Lodging,1918.357249,1.318492023,0.0006873026513,258.389096,1.481881901,0.005735079086,17.23498763,0,0,216.689127,0,0,2.800373924,0.001161657709
51,Inerts and Other,Clean Engineered Wood,Nevada (Countywide),Hotels & Lodging,1918.357249,1.874353496,0.0009770617529,258.389096,0,0,17.23498763,0,0,216.689127,0,0,1.874353496,0.0007775237336
52,Inerts and Other,Clean Pallets & Crates,Nevada (Countywide),Hotels & Lodging,1918.357249,42.30824476,0.02205441389,258.389096,37.41628719,0.1448059836,17.23498763,0,0,216.689127,0,0,79.72453195,0.03307151819
53,Inerts and Other,Other Wood Waste,Nevada (Countywide),Hotels & Lodging,1918.357249,21.09100801,0.01099430673,258.389096,0,0,17.23498763,0,0,216.689127,0,0,21.09100801,0.008749021635
54,Inerts and Other,Gypsum Board,Nevada (Countywide),Hotels & Lodging,1918.357249,27.66269056,0.01441998907,258.389096,0,0,17.23498763,0,0,216.689127,0,0,27.66269056,0.01147510248
55,Inerts and Other,"Rock, Soil and Fines",Nevada (Countywide),Hotels & Lodging,1918.357249,3.169552823,0.001652222402,258.389096,0,0,17.23498763,0,0,216.689127,0,0,3.169552823,0.00131480137
56,Inerts and Other,Remainder / Composite Inerts and Other,Nevada (Countywide),Hotels & Lodging,1918.357249,29.2097302,0.01522642887,258.389096,22.67131612,0.087740994,17.23498763,0,0,216.689127,0,0,51.88104632,0.02152141788
57,Household Hazardous Waste (HHW),Paint,Nevada (Countywide),Hotels & Lodging,1918.357249,0.2316616681,0.0001207604414,258.389096,0,0,17.23498763,0,0,216.689127,0,0,0.2316616681,9.61E-05
58,Household Hazardous Waste (HHW),Vehicle and Equipment Fluids,Nevada (Countywide),Hotels & Lodging,1918.357249,0.02895770851,1.51E-05,258.389096,0,0,17.23498763,0,0,216.689127,0,0,0.02895770851,1.20E-05
59,Household Hazardous Waste (HHW),Used Oil,Nevada (Countywide),Hotels & Lodging,1918.357249,0,0,258.389096,0,0,17.23498763,0,0,216.689127,0,0,0,0
60,Household Hazardous Waste (HHW),Batteries,Nevada (Countywide),Hotels & Lodging,1918.357249,0.1994038915,0.0001039451289,258.389096,0.006666074728,2.58E-05,17.23498763,0,0,216.689127,0.3900822724,0.001800193105,0.5961522386,0.0002472972762
61,Household Hazardous Waste (HHW),Remainder / Composite Household Hazardous,Nevada (Countywide),Hotels & Lodging,1918.357249,0.573802073,0.0002991111657,258.389096,0.02635885746,0.000102012267,17.23498763,0,0,216.689127,0,0,0.6001609304,0.0002489601712
62,Special Waste,Ash,Nevada (Countywide),Hotels & Lodging,1918.357249,14.60311478,0.00761230203,258.389096,0,0,17.23498763,0,0,216.689127,0,0,14.60311478,0.006057698481
63,Special Waste,Treated Medical Waste,Nevada (Countywide),Hotels & Lodging,1918.357249,0,0,258.389096,0,0,17.23498763,0,0,216.689127,0,0,0,0
64,Special Waste,Bulky Items,Nevada (Countywide),Hotels & Lodging,1918.357249,7.023560574,0.003661237018,258.389096,0,0,17.23498763,0,0,216.689127,0,0,7.023560574,0.002913529946
65,Special Waste,Tires,Nevada (Countywide),Hotels & Lodging,1918.357249,0,0,258.389096,0.207600613,0.0008034418487,17.23498763,0,0,216.689127,0,0,0.207600613,8.61E-05
66,Special Waste,Remainder / Composite Special Waste,Nevada (Countywide),Hotels & Lodging,1918.357249,0.14365431,7.49E-05,258.389096,0,0,17.23498763,0,0,216.689127,0,0,0.14365431,5.96E-05
67,Mixed Residue,Mixed Residue,Nevada (Countywide),Hotels & Lodging,1918.357249,7.73635673,0.004032802928,258.389096,0.001904592779,7.37E-06,17.23498763,0,0,216.689127,0.3189860906,0.001472090893,8.057247414,0.003342326356
0,Paper,Uncoated Corrugated Cardboard,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,221.3686033,0.01655668893,1993.185611,720.1957886,0.3613290125,10601.8381,0,0,314.3781873,5.007241734,0.01592744642,946.5716336,0.03601905772
1,Paper,Paper Bags,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,51.82929681,0.003876437455,1993.185611,25.89438453,0.01299145668,10601.8381,0,0,314.3781873,0.2324616734,0.0007394332138,77.95614301,0.002966396536
2,Paper,Newspaper,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,184.2414863,0.01377986278,1993.185611,29.64180043,0.01487157055,10601.8381,0,0,314.3781873,0,0,213.8832867,0.008138712566
3,Paper,White Ledger Paper,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,213.2990785,0.01595314982,1993.185611,187.4097182,0.0940252213,10601.8381,0,0,314.3781873,3.54504052,0.01127635651,404.2538372,0.01538271567
4,Paper,Other Office Paper,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,274.6805414,0.02054401669,1993.185611,87.67558623,0.04398766765,10601.8381,0,0,314.3781873,21.65214444,0.0688729222,384.0082721,0.01461232898
5,Paper,Magazines and Catalogs,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,109.6226172,0.008198938542,1993.185611,82.83384613,0.04155852102,10601.8381,0,0,314.3781873,0.5728519809,0.001822174706,193.0293153,0.007345174737
6,Paper,Phone Books and Directories,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,0,0,1993.185611,0,0,10601.8381,0,0,314.3781873,0,0,0,0
7,Paper,Other Miscellaneous Paper - Compostable,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,41.5842953,0.003110189212,1993.185611,61.9262618,0.03106898898,10601.8381,0,0,314.3781873,1.594022903,0.005070399181,105.10458,0.003999452127
8,Paper,Other Miscellaneous Paper - Other,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,426.0376134,0.03186437523,1993.185611,90.97160648,0.04564131206,10601.8381,0,0,314.3781873,0.2339307823,0.0007441062762,517.2431507,0.01968219862
9,Paper,Remainder / Composite Paper - Compostable,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,1452.062745,0.1086032564,1993.185611,44.86610117,0.02250974566,10601.8381,0,0,314.3781873,0.6392696019,0.002033441338,1497.568116,0.05698564218
10,Paper,Remainder / Composite Paper - Other,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,245.1270896,0.01833364313,1993.185611,73.81413688,0.03703324791,10601.8381,0,0,314.3781873,0.06641762098,0.0002112666325,319.0076441,0.01213891727
11,Glass,Clear Glass Bottles and Containers,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,66.90032563,0.005003635858,1993.185611,37.44883216,0.01878843192,10601.8381,0,0,314.3781873,7.912087589,0.02516741908,112.2612454,0.004271778419
12,Glass,Green Glass Bottles and Containers,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,6.208070332,0.0004643164742,1993.185611,36.00788991,0.01806549761,10601.8381,0,0,314.3781873,0,0,42.21596024,0.0016064068
13,Glass,Brown Glass Bottles and Containers,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,3.167178702,0.0002368808936,1993.185611,10.75170547,0.005394231931,10601.8381,0,0,314.3781873,0,0,13.91888417,0.0005296430556
14,Glass,Other Glass Colored Bottles and Containers,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,3.588135606,0.0002683652704,1993.185611,0,0,10601.8381,0,0,314.3781873,0,0,3.588135606,0.0001365361679
15,Glass,Flat Glass,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,85.94123499,0.006427751151,1993.185611,0,0,10601.8381,0,0,314.3781873,0,0,85.94123499,0.003270246217
16,Glass,Remainder / Composite Glass,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,23.0202612,0.001721740564,1993.185611,8.728736496,0.004379289338,10601.8381,0,0,314.3781873,0,0,31.7489977,0.001208116681
17,Metal,Tin/Steel Cans,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,47.10784279,0.003523308581,1993.185611,34.27224086,0.01719470614,10601.8381,0,0,314.3781873,0.361356493,0.001149432459,81.74144014,0.003110435118
18,Metal,Major Appliances,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,0,0,1993.185611,0,0,10601.8381,0,0,314.3781873,0,0,0,0
19,Metal,Used Oil Filters,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,0.3745820444,2.80E-05,1993.185611,0,0,10601.8381,0,0,314.3781873,0,0,0.3745820444,1.43E-05
20,Metal,Other Ferrous,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,61.99516478,0.00463676711,1993.185611,2.470691221,0.001239569063,10601.8381,0,0,314.3781873,2.049160518,0.006518138346,66.51501652,0.002531037414
21,Metal,Aluminum Cans,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,26.05055914,0.001948383817,1993.185611,1.467121309,0.0007360685831,10601.8381,0,0,314.3781873,3.241431995,0.01031061354,30.75911244,0.001170449448
22,Metal,Other Non-Ferrous,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,198.4251781,0.01484069512,1993.185611,15.52570444,0.007789392193,10601.8381,0,0,314.3781873,0.03803752558,0.0001209928904,213.9889201,0.00814273214
23,Metal,Remainder / Composite Metal,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,143.6917018,0.01074704712,1993.185611,0.2247743304,0.0001127713993,10601.8381,0,0,314.3781873,0,0,143.9164761,0.00547632707
24,Electronics,Brown Goods,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,11.23746133,0.0008404766935,1993.185611,0,0,10601.8381,0,0,314.3781873,0.4665450239,0.001484024791,11.70400636,0.0004453622585
25,Electronics,Computer-related Electronics,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,8.763783135,0.0006554643663,1993.185611,2.573256186,0.001291026873,10601.8381,0,0,314.3781873,8.783600881,0.02793960025,20.1206402,0.0007656330224
26,Electronics,Other Small Consumer Electronics,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,0.9182600454,6.87E-05,1993.185611,0,0,10601.8381,0,0,314.3781873,0,0,0.9182600454,3.49E-05
27,Electronics,Video Display Devices,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,243.1071581,0.0181825676,1993.185611,0,0,10601.8381,0,0,314.3781873,5.496002919,0.0174821382,248.603161,0.009459877401
28,Plastic,PETE Plastic Containers,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,52.36797145,0.003916726223,1993.185611,25.40296969,0.01274490923,10601.8381,0,0,314.3781873,1.8944681,0.006026079976,79.66540924,0.00303143774
29,Plastic,HDPE Plastic Containers,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,37.46888517,0.002802387816,1993.185611,5.488503755,0.002753634044,10601.8381,0,0,314.3781873,4.560897148,0.01450767684,47.51828608,0.001808171541
30,Plastic,Miscellaneous Plastic Containers,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,43.99161199,0.003290238203,1993.185611,10.0650033,0.005049706983,10601.8381,0,0,314.3781873,0.2822748892,0.0008978831882,54.33889018,0.002067709989
31,Plastic,Plastic Trash Bags,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,295.4302196,0.0220959349,1993.185611,10.38178983,0.00520864177,10601.8381,0,0,314.3781873,0,0,305.8120094,0.01163679539
32,Plastic,Plastic Grocery and Other Merchandise Bags,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,27.55281092,0.002060740832,1993.185611,13.2832783,0.006664345874,10601.8381,0,0,314.3781873,0,0,40.83608922,0.001553899782
33,Plastic,Non-Bag Commercial and Industrial Packaging Film,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,5.333332367,0.0003988927232,1993.185611,0.0374623884,1.88E-05,10601.8381,0,0,314.3781873,0,0,5.370794756,0.0002043701284
34,Plastic,Film Products,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,0.5415384163,4.05E-05,1993.185611,0.07492477679,3.76E-05,10601.8381,0,0,314.3781873,0,0,0.6164631931,2.35E-05
35,Plastic,Other Film - Other,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,205.3129632,0.01535584909,1993.185611,11.43073671,0.0057349083,10601.8381,0,0,314.3781873,0,0,216.7436999,0.008247557354
36,Plastic,Durable Plastic Items - #2 and #5 Bulky Rigids,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,4.912375463,0.0003674083464,1993.185611,57.09267991,0.02864393541,10601.8381,0,0,314.3781873,13.00119345,0.04135526565,75.00624883,0.002854146807
37,Plastic,Durable Plastic Items - Other,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,140.4681807,0.01050595224,1993.185611,35.77475451,0.01794853139,10601.8381,0,0,314.3781873,0,0,176.2429352,0.006706417381
38,Plastic,Remainder / Composite Plastic,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,627.5838122,0.04693849898,1993.185611,29.51183874,0.01480636754,10601.8381,0,0,314.3781873,0.1411374446,0.0004489415941,657.2367883,0.02500925337
39,Other Organic,Food,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,3323.475482,0.2485707048,1993.185611,34.94303267,0.01753124871,10601.8381,1.677113019,0.0001581907782,314.3781873,16.56783649,0.05270033723,3376.663464,0.1284892045
40,Other Organic,Leaves and Grass,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,761.6459721,0.05696532956,1993.185611,0,0,10601.8381,10478.47853,0.9883643226,314.3781873,0,0,11240.1245,0.4277105703
41,Other Organic,Prunings and Trimmings,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,387.5766205,0.0289877853,1993.185611,0,0,10601.8381,121.6824545,0.01147748658,314.3781873,0,0,509.259075,0.01937838761
42,Other Organic,Branches and Stumps,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,32.0556234,0.002397516981,1993.185611,159.5418836,0.0800436661,10601.8381,0,0,314.3781873,0,0,191.597507,0.007290691393
43,Other Organic,Manures,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,0,0,1993.185611,0,0,10601.8381,0,0,314.3781873,0,0,0,0
44,Other Organic,Textiles,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,312.9049406,0.02340291122,1993.185611,24.58153695,0.01233278868,10601.8381,0,0,314.3781873,0,0,337.4864776,0.01284207606
45,Other Organic,Carpet,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,135.0992574,0.01010439758,1993.185611,0,0,10601.8381,0,0,314.3781873,0,0,135.0992574,0.0051408132
46,Other Organic,Remainder / Composite Organic,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,1101.690939,0.08239810842,1993.185611,9.788195708,0.004910830007,10601.8381,0,0,314.3781873,0,0,1111.479134,0.04229413778
47,Inerts and Other,Concrete,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,17.14014672,0.001281952695,1993.185611,0,0,10601.8381,0,0,314.3781873,0,0,17.14014672,0.0006522189256
48,Inerts and Other,Asphalt Paving,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,0,0,1993.185611,0,0,10601.8381,0,0,314.3781873,0,0,0,0
49,Inerts and Other,Asphalt Roofing,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,0.3745820444,2.80E-05,1993.185611,0.4495486607,0.0002255427985,10601.8381,0,0,314.3781873,0,0,0.8241307052,3.14E-05
50,Inerts and Other,Clean Dimensional Lumber,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,78.39180813,0.005863111403,1993.185611,0,0,10601.8381,0,0,314.3781873,0,0,78.39180813,0.002982974517
51,Inerts and Other,Clean Engineered Wood,San Joaquin (Countywide),"Services - Management, Administrative, Support, & Social",13370.34259,0,0,1993.185611,0,0,10601.8381,0,0,314.3781873,0,0,0,0
